wavelength,keep_waves,fwhm
2419.0513,0,8.795
2426.4402,0,8.796
2433.8303,0,8.797
2441.2183,0,8.799
2448.6064,0,8.8
2455.9944,0,8.802
2463.3816,0,8.803
2470.7678,0,8.804
2478.153,0,8.806
2485.5386,0,8.807
2492.9238,0,8.809
